Time,Signal
0.99219,-0.88054
0.99609,-0.49594
1,-5.1435e-15
1.0039,0.49594
1.0078,0.88054
1.0117,1.0687
1.0156,1.0219
1.0195,0.7568
1.0234,0.34182
1.0273,-0.11932
1.0312,-0.51202
1.0352,-0.73784
1.0391,-0.73781
1.043,-0.5063
1.0469,-0.092399
1.0508,0.4117
1.0547,0.89246
1.0586,1.2418
1.0625,1.3827
1.0664,1.2872
1.0703,0.98313
1.0742,0.54763
1.0781,0.088713
1.082,-0.28011
1.0859,-0.46668
1.0898,-0.42194
1.0938,-0.15154
1.0977,0.28552
1.1016,0.79079
1.1055,1.2496
1.1094,1.5583
1.1133,1.6484
1.1172,1.503
1.1211,1.1609
1.125,0.70711
1.1289,0.25285
1.1328,-0.090518
1.1367,-0.23798
1.1406,-0.15087
1.1445,0.15395
1.1484,0.60812
1.1523,1.1079
1.1562,1.5386
1.1602,1.8018
1.1641,1.8385
1.168,1.6431
1.1719,1.2646
1.1758,0.79521
1.1797,0.34842
1.1836,0.032288
1.1875,-0.07612
1.1914,0.051072
1.1953,0.38597
1.1992,0.85151
1.2031,1.3396
1.207,1.7368
1.2109,1.9508
1.2148,1.9326
1.2188,1.6879
1.2227,1.2756
1.2266,0.79409
1.2305,0.35809
1.2344,0.071305
1.2383,0.0021057
1.2422,0.16733
1.2461,0.5283
1.25,1
1.2539,1.4711
1.2578,1.8303
1.2617,1.9925
1.2656,1.9191
1.2695,1.6269
1.2734,1.1843
1.2773,0.69499
1.2812,0.27368
1.2852,0.018762
1.2891,-0.010754
1.293,0.19077
1.2969,0.57426
1.3008,1.0475
1.3047,1.4971
1.3086,1.8149
1.3125,1.9239
1.3164,1.7961
1.3203,1.4596
1.3242,0.99124
1.3281,0.49924
1.332,0.097077
1.3359,-0.12306
1.3398,-0.11209
1.3438,0.12436
1.3477,0.5273
1.3516,0.9983
1.3555,1.4227
1.3594,1.6969
1.3633,1.7524
1.3672,1.5724
1.3711,1.1956
1.375,0.70711
1.3789,0.21814
1.3828,-0.15991
1.3867,-0.34201
1.3906,-0.28949
1.3945,-0.019162
1.3984,0.40061
1.4023,0.86609
1.4062,1.2627
1.4102,1.4919
1.4141,1.4949
1.418,1.2659
1.4219,0.85408
1.4258,0.35159
1.4297,-0.12802
1.4336,-0.47668
1.4375,-0.61732
1.4414,-0.52203
1.4453,-0.21868
1.4492,0.21566
1.4531,0.67297
1.457,1.0397
1.4609,1.2238
1.4648,1.176
1.4688,0.9022
1.4727,0.46125
1.4766,-0.04836
1.4805,-0.51198
1.4844,-0.82586
1.4883,-0.92162
1.4922,-0.7824
1.4961,-0.44686
1.5,-2.1191e-14
1.5039,0.44686
1.5078,0.7824
1.5117,0.92162
1.5156,0.82586
1.5195,0.51198
1.5234,0.04836
1.5273,-0.46125
1.5312,-0.9022
1.5352,-1.176
1.5391,-1.2238
1.543,-1.0397
1.5469,-0.67297
1.5508,-0.21566
1.5547,0.21868
1.5586,0.52203
1.5625,0.61732
1.5664,0.47668
1.5703,0.12802
1.5742,-0.35159
1.5781,-0.85408
1.582,-1.2659
1.5859,-1.4949
1.5898,-1.4919
1.5938,-1.2627
1.5977,-0.86609
1.6016,-0.40061
1.6055,0.019162
1.6094,0.28949
1.6133,0.34201
1.6172,0.15991
1.6211,-0.21814
1.625,-0.70711
1.6289,-1.1956
1.6328,-1.5724
1.6367,-1.7524
1.6406,-1.6969
1.6445,-1.4227
1.6484,-0.9983
1.6523,-0.5273
1.6562,-0.12436
1.6602,0.11209
1.6641,0.12306
1.668,-0.097077
1.6719,-0.49924
1.6758,-0.99124
1.6797,-1.4596
1.6836,-1.7961
1.6875,-1.9239
1.6914,-1.8149
1.6953,-1.4971
1.6992,-1.0475
1.7031,-0.57426
1.707,-0.19077
1.7109,0.010754
1.7148,-0.018762
1.7188,-0.27368
1.7227,-0.69499
1.7266,-1.1843
1.7305,-1.6269
1.7344,-1.9191
1.7383,-1.9925
1.7422,-1.8303
1.7461,-1.4711
1.75,-1
1.7539,-0.5283
1.7578,-0.16733
1.7617,-0.0021057
1.7656,-0.071305
1.7695,-0.35809
1.7734,-0.79409
1.7773,-1.2756
1.7812,-1.6879
1.7852,-1.9326
1.7891,-1.9508
1.793,-1.7368
1.7969,-1.3396
1.8008,-0.85151
1.8047,-0.38597
1.8086,-0.051072
1.8125,0.07612
1.8164,-0.032288
1.8203,-0.34842
1.8242,-0.79521
1.8281,-1.2646
1.832,-1.6431
1.8359,-1.8385
1.8398,-1.8018
1.8438,-1.5386
1.8477,-1.1079
1.8516,-0.60812
1.8555,-0.15395
1.8594,0.15087
1.8633,0.23798
1.8672,0.090518
1.8711,-0.25285
1.875,-0.70711
1.8789,-1.1609
1.8828,-1.503
1.8867,-1.6484
1.8906,-1.5583
1.8945,-1.2496
1.8984,-0.79079
1.9023,-0.28552
1.9062,0.15154
1.9102,0.42194
1.9141,0.46668
1.918,0.28011
1.9219,-0.088713
1.9258,-0.54763
1.9297,-0.98313
1.9336,-1.2872
1.9375,-1.3827
1.9414,-1.2418
1.9453,-0.89246
1.9492,-0.4117
1.9531,0.092399
1.957,0.5063
1.9609,0.73781
1.9648,0.73784
1.9688,0.51202
1.9727,0.11932
1.9766,-0.34182
1.9805,-0.7568
1.9844,-1.0219
1.9883,-1.0687
1.9922,-0.88054
1.9961,-0.49594
2,-1.0287e-14
2.0039,0.49594
2.0078,0.88054
2.0117,1.0687
2.0156,1.0219
2.0195,0.7568
2.0234,0.34182
2.0273,-0.11932
2.0312,-0.51202
2.0352,-0.73784
2.0391,-0.73781
2.043,-0.5063
2.0469,-0.092399
2.0508,0.4117
2.0547,0.89246
2.0586,1.2418
2.0625,1.3827
2.0664,1.2872
2.0703,0.98313
2.0742,0.54763
2.0781,0.088713
2.082,-0.28011
2.0859,-0.46668
2.0898,-0.42194
2.0938,-0.15154
2.0977,0.28552
2.1016,0.79079
2.1055,1.2496
2.1094,1.5583
2.1133,1.6484
2.1172,1.503
2.1211,1.1609
2.125,0.70711
2.1289,0.25285
2.1328,-0.090518
2.1367,-0.23798
2.1406,-0.15087
2.1445,0.15395
2.1484,0.60812
2.1523,1.1079
2.1562,1.5386
2.1602,1.8018
2.1641,1.8385
2.168,1.6431
2.1719,1.2646
2.1758,0.79521
2.1797,0.34842
2.1836,0.032288
2.1875,-0.07612
2.1914,0.051072
2.1953,0.38597
2.1992,0.85151
2.2031,1.3396
2.207,1.7368
2.2109,1.9508
2.2148,1.9326
2.2188,1.6879
2.2227,1.2756
2.2266,0.79409
2.2305,0.35809
2.2344,0.071305
2.2383,0.0021057
2.2422,0.16733
2.2461,0.5283
2.25,1
2.2539,1.4711
2.2578,1.8303
2.2617,1.9925
2.2656,1.9191
2.2695,1.6269
2.2734,1.1843
2.2773,0.69499
2.2812,0.27368
2.2852,0.018762
2.2891,-0.010754
2.293,0.19077
2.2969,0.57426
2.3008,1.0475
2.3047,1.4971
2.3086,1.8149
2.3125,1.9239
2.3164,1.7961
2.3203,1.4596
2.3242,0.99124
2.3281,0.49924
2.332,0.097077
2.3359,-0.12306
2.3398,-0.11209
2.3438,0.12436
2.3477,0.5273
2.3516,0.9983
2.3555,1.4227
2.3594,1.6969
2.3633,1.7524
2.3672,1.5724
2.3711,1.1956
2.375,0.70711
2.3789,0.21814
2.3828,-0.15991
2.3867,-0.34201
2.3906,-0.28949
2.3945,-0.019162
2.3984,0.40061
2.4023,0.86609
2.4062,1.2627
2.4102,1.4919
2.4141,1.4949
2.418,1.2659
2.4219,0.85408
2.4258,0.35159
2.4297,-0.12802
2.4336,-0.47668
2.4375,-0.61732
2.4414,-0.52203
2.4453,-0.21868
2.4492,0.21566
2.4531,0.67297
2.457,1.0397
2.4609,1.2238
2.4648,1.176
2.4688,0.9022
2.4727,0.46125
2.4766,-0.04836
2.4805,-0.51198
2.4844,-0.82586
2.4883,-0.92162
2.4922,-0.7824
2.4961,-0.44686
2.5,2.5767e-15
2.5039,0.44686
2.5078,0.7824
2.5117,0.92162
2.5156,0.82586
2.5195,0.51198
2.5234,0.04836
2.5273,-0.46125
2.5312,-0.9022
2.5352,-1.176
2.5391,-1.2238
2.543,-1.0397
2.5469,-0.67297
2.5508,-0.21566
2.5547,0.21868
2.5586,0.52203
2.5625,0.61732
2.5664,0.47668
2.5703,0.12802
2.5742,-0.35159
2.5781,-0.85408
2.582,-1.2659
2.5859,-1.4949
2.5898,-1.4919
2.5938,-1.2627
2.5977,-0.86609
2.6016,-0.40061
2.6055,0.019162
2.6094,0.28949
2.6133,0.34201
2.6172,0.15991
2.6211,-0.21814
2.625,-0.70711
2.6289,-1.1956
2.6328,-1.5724
2.6367,-1.7524
2.6406,-1.6969
2.6445,-1.4227
2.6484,-0.9983
2.6523,-0.5273
2.6562,-0.12436
2.6602,0.11209
2.6641,0.12306
2.668,-0.097077
2.6719,-0.49924
2.6758,-0.99124
2.6797,-1.4596
2.6836,-1.7961
2.6875,-1.9239
2.6914,-1.8149
2.6953,-1.4971
2.6992,-1.0475
2.7031,-0.57426
2.707,-0.19077
2.7109,0.010754
2.7148,-0.018762
2.7188,-0.27368
2.7227,-0.69499
2.7266,-1.1843
2.7305,-1.6269
2.7344,-1.9191
2.7383,-1.9925
2.7422,-1.8303
2.7461,-1.4711
2.75,-1
2.7539,-0.5283
2.7578,-0.16733
2.7617,-0.0021057
2.7656,-0.071305
2.7695,-0.35809
2.7734,-0.79409
2.7773,-1.2756
2.7812,-1.6879
2.7852,-1.9326
2.7891,-1.9508
2.793,-1.7368
2.7969,-1.3396
2.8008,-0.85151
2.8047,-0.38597
2.8086,-0.051072
2.8125,0.07612
2.8164,-0.032288
2.8203,-0.34842
2.8242,-0.79521
2.8281,-1.2646
2.832,-1.6431
2.8359,-1.8385
2.8398,-1.8018
2.8438,-1.5386
2.8477,-1.1079
2.8516,-0.60812
2.8555,-0.15395
2.8594,0.15087
2.8633,0.23798
2.8672,0.090518
2.8711,-0.25285
2.875,-0.70711
2.8789,-1.1609
2.8828,-1.503
2.8867,-1.6484
2.8906,-1.5583
2.8945,-1.2496
2.8984,-0.79079
2.9023,-0.28552
2.9062,0.15154
2.9102,0.42194
2.9141,0.46668
2.918,0.28011
2.9219,-0.088713
2.9258,-0.54763
2.9297,-0.98313
2.9336,-1.2872
2.9375,-1.3827
2.9414,-1.2418
2.9453,-0.89246
2.9492,-0.4117
2.9531,0.092399
2.957,0.5063
2.9609,0.73781
2.9648,0.73784
2.9688,0.51202
2.9727,0.11932
2.9766,-0.34182
2.9805,-0.7568
2.9844,-1.0219
2.9883,-1.0687
2.9922,-0.88054
2.9961,-0.49594
3,-4.3852e-14
3.0039,0.49594
3.0078,0.88054
3.0117,1.0687
3.0156,1.0219
3.0195,0.7568
3.0234,0.34182
3.0273,-0.11932
3.0312,-0.51202
3.0352,-0.73784
3.0391,-0.73781
3.043,-0.5063
3.0469,-0.092399
3.0508,0.4117
3.0547,0.89246
3.0586,1.2418
3.0625,1.3827
3.0664,1.2872
3.0703,0.98313
3.0742,0.54763
3.0781,0.088713
3.082,-0.28011
3.0859,-0.46668
3.0898,-0.42194
3.0938,-0.15154
3.0977,0.28552
3.1016,0.79079
3.1055,1.2496
3.1094,1.5583
3.1133,1.6484
3.1172,1.503
3.1211,1.1609
3.125,0.70711
3.1289,0.25285
3.1328,-0.090518
3.1367,-0.23798
3.1406,-0.15087
3.1445,0.15395
3.1484,0.60812
3.1523,1.1079
3.1562,1.5386
3.1602,1.8018
3.1641,1.8385
3.168,1.6431
3.1719,1.2646
3.1758,0.79521
3.1797,0.34842
3.1836,0.032288
3.1875,-0.07612
3.1914,0.051072
3.1953,0.38597
3.1992,0.85151
3.2031,1.3396
3.207,1.7368
3.2109,1.9508
3.2148,1.9326
3.2188,1.6879
3.2227,1.2756
3.2266,0.79409
3.2305,0.35809
3.2344,0.071305
3.2383,0.0021057
3.2422,0.16733
3.2461,0.5283
3.25,1
3.2539,1.4711
3.2578,1.8303
3.2617,1.9925
3.2656,1.9191
3.2695,1.6269
3.2734,1.1843
3.2773,0.69499
3.2812,0.27368
3.2852,0.018762
3.2891,-0.010754
3.293,0.19077
3.2969,0.57426
3.3008,1.0475
3.3047,1.4971
3.3086,1.8149
3.3125,1.9239
3.3164,1.7961
3.3203,1.4596
3.3242,0.99124
3.3281,0.49924
3.332,0.097077
3.3359,-0.12306
3.3398,-0.11209
3.3438,0.12436
3.3477,0.5273
3.3516,0.9983
3.3555,1.4227
3.3594,1.6969
3.3633,1.7524
3.3672,1.5724
3.3711,1.1956
3.375,0.70711
3.3789,0.21814
3.3828,-0.15991
3.3867,-0.34201
3.3906,-0.28949
3.3945,-0.019162
3.3984,0.40061
3.4023,0.86609
3.4062,1.2627
3.4102,1.4919
3.4141,1.4949
3.418,1.2659
3.4219,0.85408
3.4258,0.35159
3.4297,-0.12802
3.4336,-0.47668
3.4375,-0.61732
3.4414,-0.52203
3.4453,-0.21868
3.4492,0.21566
3.4531,0.67297
3.457,1.0397
3.4609,1.2238
3.4648,1.176
3.4688,0.9022
3.4727,0.46125
3.4766,-0.04836
3.4805,-0.51198
3.4844,-0.82586
3.4883,-0.92162
3.4922,-0.7824
3.4961,-0.44686
3.5,-3.0499e-14
3.5039,0.44686
3.5078,0.7824
3.5117,0.92162
3.5156,0.82586
3.5195,0.51198
3.5234,0.04836
3.5273,-0.46125
3.5312,-0.9022
3.5352,-1.176
3.5391,-1.2238
3.543,-1.0397
3.5469,-0.67297
3.5508,-0.21566
3.5547,0.21868
3.5586,0.52203
3.5625,0.61732
3.5664,0.47668
3.5703,0.12802
3.5742,-0.35159
3.5781,-0.85408
3.582,-1.2659
3.5859,-1.4949
3.5898,-1.4919
3.5938,-1.2627
3.5977,-0.86609
3.6016,-0.40061
3.6055,0.019162
3.6094,0.28949
3.6133,0.34201
3.6172,0.15991
3.6211,-0.21814
3.625,-0.70711
3.6289,-1.1956
3.6328,-1.5724
3.6367,-1.7524
3.6406,-1.6969
3.6445,-1.4227
3.6484,-0.9983
3.6523,-0.5273
3.6562,-0.12436
3.6602,0.11209
3.6641,0.12306
3.668,-0.097077
3.6719,-0.49924
3.6758,-0.99124
3.6797,-1.4596
3.6836,-1.7961
3.6875,-1.9239
3.6914,-1.8149
3.6953,-1.4971
3.6992,-1.0475
3.7031,-0.57426
3.707,-0.19077
3.7109,0.010754
3.7148,-0.018762
3.7188,-0.27368
3.7227,-0.69499
3.7266,-1.1843
3.7305,-1.6269
3.7344,-1.9191
3.7383,-1.9925
3.7422,-1.8303
3.7461,-1.4711
3.75,-1
3.7539,-0.5283
3.7578,-0.16733
3.7617,-0.0021057
3.7656,-0.071305
3.7695,-0.35809
3.7734,-0.79409
3.7773,-1.2756
3.7812,-1.6879
3.7852,-1.9326
3.7891,-1.9508
3.793,-1.7368
3.7969,-1.3396
3.8008,-0.85151
3.8047,-0.38597
3.8086,-0.051072
3.8125,0.07612
3.8164,-0.032288
3.8203,-0.34842
3.8242,-0.79521
3.8281,-1.2646
3.832,-1.6431
3.8359,-1.8385
3.8398,-1.8018
3.8438,-1.5386
3.8477,-1.1079
3.8516,-0.60812
3.8555,-0.15395
3.8594,0.15087
3.8633,0.23798
3.8672,0.090518
3.8711,-0.25285
3.875,-0.70711
3.8789,-1.1609
3.8828,-1.503
3.8867,-1.6484
3.8906,-1.5583
3.8945,-1.2496
3.8984,-0.79079
3.9023,-0.28552
3.9062,0.15154
3.9102,0.42194
3.9141,0.46668
3.918,0.28011
3.9219,-0.088713
3.9258,-0.54763
3.9297,-0.98313
3.9336,-1.2872
3.9375,-1.3827
3.9414,-1.2418
3.9453,-0.89246
3.9492,-0.4117
3.9531,0.092399
3.957,0.5063
3.9609,0.73781
3.9648,0.73784
3.9688,0.51202
3.9727,0.11932
3.9766,-0.34182
3.9805,-0.7568
3.9844,-1.0219
3.9883,-1.0687
3.9922,-0.88054
3.9961,-0.49594
4,-2.0574e-14
4.0039,0.49594
4.0078,0.88054
4.0117,1.0687
4.0156,1.0219
4.0195,0.7568
4.0234,0.34182
4.0273,-0.11932
4.0312,-0.51202
4.0352,-0.73784
4.0391,-0.73781
4.043,-0.5063
4.0469,-0.092399
4.0508,0.4117
4.0547,0.89246
4.0586,1.2418
4.0625,1.3827
4.0664,1.2872
4.0703,0.98313
4.0742,0.54763
4.0781,0.088713
4.082,-0.28011
4.0859,-0.46668
4.0898,-0.42194
4.0938,-0.15154
4.0977,0.28552
4.1016,0.79079
4.1055,1.2496
4.1094,1.5583
4.1133,1.6484
4.1172,1.503
4.1211,1.1609
4.125,0.70711
4.1289,0.25285
4.1328,-0.090518
4.1367,-0.23798
4.1406,-0.15087
4.1445,0.15395
4.1484,0.60812
4.1523,1.1079
4.1562,1.5386
4.1602,1.8018
4.1641,1.8385
4.168,1.6431
4.1719,1.2646
4.1758,0.79521
4.1797,0.34842
4.1836,0.032288
4.1875,-0.07612
4.1914,0.051072
4.1953,0.38597
4.1992,0.85151
4.2031,1.3396
4.207,1.7368
4.2109,1.9508
4.2148,1.9326
4.2188,1.6879
4.2227,1.2756
4.2266,0.79409
4.2305,0.35809
4.2344,0.071305
4.2383,0.0021057
4.2422,0.16733
4.2461,0.5283
4.25,1
4.2539,1.4711
4.2578,1.8303
4.2617,1.9925
4.2656,1.9191
4.2695,1.6269
4.2734,1.1843
4.2773,0.69499
4.2812,0.27368
4.2852,0.018762
4.2891,-0.010754
4.293,0.19077
4.2969,0.57426
4.3008,1.0475
4.3047,1.4971
4.3086,1.8149
4.3125,1.9239
4.3164,1.7961
4.3203,1.4596
4.3242,0.99124
4.3281,0.49924
4.332,0.097077
4.3359,-0.12306
4.3398,-0.11209
4.3438,0.12436
4.3477,0.5273
4.3516,0.9983
4.3555,1.4227
4.3594,1.6969
4.3633,1.7524
4.3672,1.5724
4.3711,1.1956
4.375,0.70711
4.3789,0.21814
4.3828,-0.15991
4.3867,-0.34201
4.3906,-0.28949
4.3945,-0.019162
4.3984,0.40061
4.4023,0.86609
4.4062,1.2627
4.4102,1.4919
4.4141,1.4949
4.418,1.2659
4.4219,0.85408
4.4258,0.35159
4.4297,-0.12802
4.4336,-0.47668
4.4375,-0.61732
4.4414,-0.52203
4.4453,-0.21868
4.4492,0.21566
4.4531,0.67297
4.457,1.0397
4.4609,1.2238
4.4648,1.176
4.4688,0.9022
4.4727,0.46125
4.4766,-0.04836
4.4805,-0.51198
4.4844,-0.82586
4.4883,-0.92162
4.4922,-0.7824
4.4961,-0.44686
4.5,-6.7306e-15
4.5039,0.44686
4.5078,0.7824
4.5117,0.92162
4.5156,0.82586
4.5195,0.51198
4.5234,0.04836
4.5273,-0.46125
4.5312,-0.9022
4.5352,-1.176
4.5391,-1.2238
4.543,-1.0397
4.5469,-0.67297
4.5508,-0.21566
4.5547,0.21868
4.5586,0.52203
4.5625,0.61732
4.5664,0.47668
4.5703,0.12802
4.5742,-0.35159
4.5781,-0.85408
4.582,-1.2659
4.5859,-1.4949
4.5898,-1.4919
4.5938,-1.2627
4.5977,-0.86609
4.6016,-0.40061
4.6055,0.019162
4.6094,0.28949
4.6133,0.34201
4.6172,0.15991
4.6211,-0.21814
4.625,-0.70711
4.6289,-1.1956
4.6328,-1.5724
4.6367,-1.7524
4.6406,-1.6969
4.6445,-1.4227
4.6484,-0.9983
4.6523,-0.5273
4.6562,-0.12436
4.6602,0.11209
4.6641,0.12306
4.668,-0.097077
4.6719,-0.49924
4.6758,-0.99124
4.6797,-1.4596
4.6836,-1.7961
4.6875,-1.9239
4.6914,-1.8149
4.6953,-1.4971
4.6992,-1.0475
4.7031,-0.57426
4.707,-0.19077
4.7109,0.010754
4.7148,-0.018762
4.7188,-0.27368
4.7227,-0.69499
4.7266,-1.1843
4.7305,-1.6269
4.7344,-1.9191
4.7383,-1.9925
4.7422,-1.8303
4.7461,-1.4711
4.75,-1
4.7539,-0.5283
4.7578,-0.16733
4.7617,-0.0021057
4.7656,-0.071305
4.7695,-0.35809
4.7734,-0.79409
4.7773,-1.2756
4.7812,-1.6879
4.7852,-1.9326
4.7891,-1.9508
4.793,-1.7368
4.7969,-1.3396
4.8008,-0.85151
4.8047,-0.38597
4.8086,-0.051072
4.8125,0.07612
4.8164,-0.032288
4.8203,-0.34842
4.8242,-0.79521
4.8281,-1.2646
4.832,-1.6431
4.8359,-1.8385
4.8398,-1.8018
4.8438,-1.5386
4.8477,-1.1079
4.8516,-0.60812
4.8555,-0.15395
4.8594,0.15087
4.8633,0.23798
4.8672,0.090518
4.8711,-0.25285
4.875,-0.70711
4.8789,-1.1609
4.8828,-1.503
4.8867,-1.6484
4.8906,-1.5583
4.8945,-1.2496
4.8984,-0.79079
4.9023,-0.28552
4.9062,0.15154
4.9102,0.42194
4.9141,0.46668
4.918,0.28011
4.9219,-0.088713
4.9258,-0.54763
4.9297,-0.98313
4.9336,-1.2872
4.9375,-1.3827
4.9414,-1.2418
4.9453,-0.89246
4.9492,-0.4117
4.9531,0.092399
4.957,0.5063
4.9609,0.73781
4.9648,0.73784
4.9688,0.51202
4.9727,0.11932
4.9766,-0.34182
4.9805,-0.7568
4.9844,-1.0219
4.9883,-1.0687
4.9922,-0.88054
4.9961,-0.49594
5,2.7041e-15
5.0039,0.49594
5.0078,0.88054
5.0117,1.0687
5.0156,1.0219
5.0195,0.7568
5.0234,0.34182
5.0273,-0.11932
5.0312,-0.51202
5.0352,-0.73784
5.0391,-0.73781
5.043,-0.5063
5.0469,-0.092399
5.0508,0.4117
5.0547,0.89246
5.0586,1.2418
5.0625,1.3827
5.0664,1.2872
5.0703,0.98313
5.0742,0.54763
5.0781,0.088713
5.082,-0.28011
5.0859,-0.46668
5.0898,-0.42194
5.0938,-0.15154
5.0977,0.28552
5.1016,0.79079
5.1055,1.2496
5.1094,1.5583
5.1133,1.6484
5.1172,1.503
5.1211,1.1609
5.125,0.70711
5.1289,0.25285
5.1328,-0.090518
5.1367,-0.23798
5.1406,-0.15087
5.1445,0.15395
5.1484,0.60812
5.1523,1.1079
5.1562,1.5386
5.1602,1.8018
5.1641,1.8385
5.168,1.6431
5.1719,1.2646
5.1758,0.79521
5.1797,0.34842
5.1836,0.032288
5.1875,-0.07612
5.1914,0.051072
5.1953,0.38597
5.1992,0.85151
5.2031,1.3396
5.207,1.7368
5.2109,1.9508
5.2148,1.9326
5.2188,1.6879
5.2227,1.2756
5.2266,0.79409
5.2305,0.35809
5.2344,0.071305
5.2383,0.0021057
5.2422,0.16733
5.2461,0.5283
5.25,1
5.2539,1.4711
